VEHICLEID,CURRODOM,MAKE,MODEL
00000001,0,CHEVY,TAHOE
00000002,0,CHEVY,TAHOE
00000003,0,CHEVY,TAHOE
00000004,0,CHEVY,TAHOE
00000005,0,CHEVY,TAHOE
00000006,0,CHEVY,TAHOE
00000007,0,CHEVY,TAHOE
00000008,0,CHEVY,TAHOE
00000009,0,CHEVY,TAHOE
00000010,0,CHEVY,TAHOE
00000011,0,CHEVY,TAHOE
00000012,0,CHEVY,TAHOE
00000013,0,CHEVY,TAHOE
00000014,0,CHEVY,TAHOE
00000015,0,CHEVY,TAHOE
00000016,0,CHEVY,TAHOE
00000017,0,CHEVY,TAHOE
00000018,0,CHEVY,TAHOE
00000019,0,CHEVY,TAHOE
00000020,0,CHEVY,TAHOE
00000021,0,CHEVY,TAHOE
00000022,0,CHEVY,TAHOE
00000023,0,CHEVY,TAHOE
00000024,0,CHEVY,TAHOE
00000025,0,CHEVY,TAHOE
00000026,0,CHEVY,TAHOE
00000027,0,CHEVY,TAHOE
00000028,0,CHEVY,TAHOE
00000029,0,CHEVY,TAHOE
00000030,0,CHEVY,TAHOE
00000031,0,CHEVY,TAHOE
00000032,0,CHEVY,TAHOE
00000033,0,CHEVY,TAHOE
00000034,0,CHEVY,TAHOE
00000035,0,CHEVY,TAHOE
00000036,0,CHEVY,TAHOE
00000037,0,CHEVY,TAHOE
00000038,0,CHEVY,TAHOE
00000039,0,CHEVY,TAHOE
00000040,0,CHEVY,TAHOE
00000041,0,CHEVY,TAHOE
00000125,76894,FORD,WRECKER
00000158,329049,FORD,FLATBED URD
00000168,120217,INTERNATIONAL,DERRICK
00000169,134911,INTERNATIONAL,BUCKET
00000171,149232,INTERNATIONAL,BUCKET
00000188,119643,CHEVY,2500
00000191,131933,CHEVY,TAHOE
00000192,182582,CHEVY,1500
00000193,126764,CHEVY,1500
00000194,127804,CHEVY,1500
00000196,177407,INTERNATIONAL,BUCKET
00000198,162089,CHEVY,1500
00000199,62732,CHEVY,2500
00000200,136117,CHEVY,1500
00000201,151062,CHEVY,1500
00000202,155233,CHEVY,1500
00000203,93843,INTERNATIONAL,DERRICK
00000204,105139,INTERNATIONAL,BUCKET
00000205,144410,CHEVY,1500
00000206,81797,CHEVY,1500
00000207,85073,CHEVY,TAHOE
00000208,69448,INTERNATIONAL,DERRICK
00000209,70058,INTERNATIONAL,BUCKET
00000210,105260,CHEVY,1500
00000211,84411,CHEVY,1500
00000212,112002,CHEVY,1500
00000213,66462,CHEVY,3500
00000214,7689,CHEVY,3500
00000215,85437,CHEVY,1500
00000216,152462,FREIGHTLINER,BUCKET
00000217,164759,FREIGHTLINER,BUCKET
00000218,142161,FREIGHTLINER,BUCKET
00000219,114148,FREIGHTLINER,BUCKET
00000220,58713,CHEVY,3500
00000221,51610,CHEVY,1500
00000222,136155,CHEVY,1500
00000223,88840,CHEVY,1500
00000224,84155,CHEVY,1500
00000225,21960,FREIGHTLINER,FLATBED
00000226,78771,FREIGHTLINER,BUCKET
00000227,44657,INTERNATIONAL,DERRICK
00000228,36172,FREIGHTLINER,ROW
00000229,37708,CHEVY,1500
00000230,90243,CHEVY,1500
00000231,83113,CHEVY,1500
00000232,84528,CHEVY,1500
00000233,54148,CHEVY,1500
00000234,29791,CHEVY,3500
00000235,52633,CHEVY,3500
00000236,51146,CHEVY,3500
00000237,59570,CHEVY,TAHOE
00000238,39569,FREIGHTLINER,BUCKET
00000239,70949,FREIGHTLINER,BUCKET
00000240,67693,FREIGHTLINER,BUCKET
00000241,37156,CHEVY,1500
00000242,57226,CHEVY,1500
00000243,52777,CHEVY,1500
00000244,8149,CHEVY,TAHOE
00000245,109161,FREIGHTLINER,FLATBED
00000246,16290,FREIGHTLINER,ROW
00000247,23190,FREIGHTLINER,BUCKET
00000248,32831,CHEVY,1500
00000249,19924,CHEVY,1500
00000250,14202,CHEVY,TRAVERSE
00000251,7886,CHEVY,TRAVERSE
00000252,26360,FREIGHTLINER,BUCKET
00000253,22091,FREIGHTLINER,BUCKET
00000254,1378,FREIGHTLINER,DERRICK
00000255,2354,CHEVY,1500
00000256,2641,CHEVY,1500
00000257,1439,CHEVY,1500
00000258,920,CHEVY,1500
00000259,71,CHEVY,2500
00001028,958,JOHN DEER,TRACTOR
00001029,976,JOHN DEER,TRACTOR
00001122,0,MISCELLANEOUS,MISCELLANEOUS
00001560,0,WIRE PULLER,WIRE PULLER
00001746,696,MISCELLANEOUS,MISCELLANEOUS
00001774,821,MISCELLANEOUS,MISCELLANEOUS
00001797,0,GOLF CART,GOLF CART
00009999,0,CHEVY,TAHOE
000188AC,220,MISCELLANEOUS,MISCELLANEOUS
00099999,0,CHEVY,TAHOE
